league_key,league_name,country_name
8207,DFB Pokal Women,Germany
8208,Super Cup,Oman
8209,FIFA U17 Women's World Cup,intl
8210,Premier League,Lesotho
8211,COTIF Tournament,intl
8212,Islamic Solidarity Games,intl
8213,Women's International Champions Cup,intl
8214,1a Divisão Women,Portugal
8215,National League,New Zealand
10208,Super Cup,Croatia
10209,2. Bundesliga Women,Germany
10210,Supercopa,Paraguay
10211,I-League 2,India
10212,Copa Bolivia,Bolivia
10213,Cup,Ghana
10214,AFC U20 Asian Cup,intl
10215,Cup,Lebanon
10216,U21 Divisie 1,Netherlands
10217,Shield Cup,Kenya
10218,Tournoi Maurice Revello,intl
10219,CAFA Nations Cup,intl
10220,AFC U17 Asian Cup,intl
10221,All-Island Cup,intl
10222,U23 League,Mexico
10223,Federation Cup,Lebanon
10224,Premier League Summer Series,England
10225,UEFA/CONMEBOL Club Challenge,intl
10226,Second League A,Russia
10227,Concacaf Central American Cup,intl
10228,Concacaf Caribbean Club Shield,intl
10229,Goiano 2,Brazil
10230,Premier League,Bhutan
10231,UEFA Women's Nations League,intl
10232,Copa Rio,Brazil
10233,Copa Santa Catarina,Brazil
10234,Paraibano 2,Brazil
10235,Premier League International Cup,intl
10236,Super Cup,Gibraltar
10237,Júniores U19,Portugal
10238,Women's WC Qualification Intercontinental Play-offs,intl
10239,Championnat D1,Gabon
10240,King's Cup,intl
10241,Club Friendlies Women,intl
10242,Super Cup,China
10243,CONMEBOL U17,intl
10244,Concacaf Women's U20,intl
10245,Copa Costa Rica,Costa Rica
10246,Concacaf U17,intl
10247,Charity Shield,Northern Ireland
10248,CAF U23 Cup of Nations,intl
10249,Calcutta Premier Division,India
10250,Ekstraliga Women,Poland
10251,CAC Games,intl
10252,Primeira Divisão,Macao
10253,CAF U17 Cup of Nations,intl
10575,African Football League,intl
10576,Erste Liga Cup,Switzerland
10577,Concacaf W Gold Cup Qualification,intl
10578,Premier Division,Antigua And Barbuda
10579,HKPL Cup,Honkg Kong
10580,AIFF Super Cup,India
10581,Concacaf W Gold Cup,intl
10582,Recopa Catarinense,Brazil
10583,Supercopa Femenina,Spain
10584,Super Cup,Malta
10585,Pan American Games,intl
10586,Women's Olympic Qualifying Asia,intl
10587,Women's Olympic Qualifying CAF,intl
10608,CONMEBOL Pre-Olympic Tournament,intl
10609,Paulista A4,Brazil
10610,Premier League,Barbados
10611,Copa Alagoas,Brazil
10612,Ykköscup,Finland
10613,Paulista Série B,Brazil
10793,Yemeni League,Yemen
10794,FA Youth Cup,England
10795,SWPL Cup,Scotland
10796,U19 League,Ukraine
10797,Concacaf U20 Qualification,intl
10798,Torneo Promocional Amateur,Argentina
10799,Women's Olympic Qualifying Asia,intl
10800,Goiano U20,Brazil
10801,Paranaense U20,Brazil
10802,U18 Divisie 1,Netherlands
10803,AFC U20 Women's Asian Cup,intl
10804,African Games,intl
10805,Baiano U20,Brazil
10806,SWF Scottish Cup,Scotland
10807,CONMEBOL U17 Femenino,intl
11485,Nacional B,Bolivia
11486,Pro League,Uzbekistan
11487,Premier Division,Grenada
11488,Catarinense U20,Brazil
11489,WAFF Championship U23,intl
11490,Copa Rio U20,Brazil
11491,UEFA Women's Championship Qualification,intl
11492,Qatar-UAE Super Cup,intl
11493,Paulista U20,Brazil
11494,Capital Territory NPL 2,Australia
11495,Western Australia State League 1,Australia
11496,UAE-Qatar Super Shield,intl
11497,NNSW League 1,Australia
11498,Tasmania Southern Championship,Australia
11499,Pernambucano U20,Brazil
11500,Tasmania Northern Championship,Australia
11501,Ykkösliiga,Finland
11502,USL Cup,USA
11503,Matogrossense 2,Brazil
11504,Copa Espírito Santo,Brazil
11505,Brasiliense U20,Brazil
11506,AFC U17 Women's Asian Cup,intl
11507,Premiership Women,Northern Ireland
11508,Olympics Intercontinental Play-offs,intl
11509,Liga 3,Georgia
11510,Carioca C,Brazil
11511,Mineiro U20,Brazil
11512,Sergipano U20,Brazil
11513,Super Cup,Bahrain
11514,Alagoano U20,Brazil
11515,Catarinense 2,Brazil
11516,Cearense U20,Brazil
11517,WPSL,USA
11518,NPSL,USA
11519,NWSL x Liga MXF Summer Cup,USA
11520,USL W League,USA
11521,Paraense B2,Brazil
11522,Carioca U20,Brazil
11523,Paraibano U20,Brazil
11524,Cearense 3,Brazil
11525,Pernambucano 2,Brazil
11526,Chatham Cup,New Zealand
11527,Esiliiga B,Estonia
11528,Brasileiro U17,Brazil
11529,Recopa,Costa Rica
11530,USL Super League,USA
11531,Copa Venezuela,Venezuela
11532,OFC U19 Championship,intl
11533,Championnat National,Togo
11534,UEFA U17 Championship Women,intl
11535,CONMEBOL U20 Femenino,intl
11536,Carioca A2,Brazil
11697,ASEAN Club Championship,intl
11698,Super Cup,Mongolia
11699,AFC Challenge League,intl
11700,Goiano 3,Brazil
11701,Amazonense 2,Brazil
11702,Paraibano 2,Brazil
11703,Concacaf W Champions Cup,intl
11704,Sergipano 2,Brazil
11705,Paranaense 3,Brazil
11706,Potiguar U20,Brazil
11707,Supercup der Frauen,Germany
11708,AFC Women's Champions League,intl
11709,Brasiliense B,Brazil
11710,Mineiro 3,Brazil
11711,Estadual Junior U20,Brazil
11712,Super Cup,Ghana
11713,Alagoano 2,Brazil
11714,Capixaba B,Brazil
11715,Paraense B1,Brazil
11716,Maranhense 2,Brazil
11717,AFC U20 Asian Cup Qualification,intl
11718,Pernambucano 3,Brazil
11719,Potiguar 2,Brazil
11720,Gaúcho 3,Brazil
11721,U19 Divisie 1,Netherlands
11722,Catarinense 3,Brazil
12586,Super Copa International,Argentina
12587,Carioca B2,Brazil
