league_id,name,country,sport,season,slug,raw.league_key,raw.league_name,raw.country_key,raw.country_name,raw.league_logo,raw.country_logo
675,Rock Cup,Gibraltar,,,,675,Rock Cup,122,Gibraltar,,https://apiv2.allsportsapi.com/logo/logo_country/122_gibraltar.png
676,Women's Olympic Qualifying Asia,intl,,,,676,Women's Olympic Qualifying Asia,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
678,Queensland Premier League,Australia,,,,678,Queensland Premier League,17,Australia,,https://apiv2.allsportsapi.com/logo/logo_country/17_australia.png
679,Victoria PL 1,Australia,,,,679,Victoria PL 1,17,Australia,,https://apiv2.allsportsapi.com/logo/logo_country/17_australia.png
680,South Australia State League 1,Australia,,,,680,South Australia State League 1,17,Australia,,https://apiv2.allsportsapi.com/logo/logo_country/17_australia.png
681,NSW League One,Australia,,,,681,NSW League One,17,Australia,,https://apiv2.allsportsapi.com/logo/logo_country/17_australia.png
682,Carioca A2,Brazil,,,,682,Carioca A2,27,Brazil,,https://apiv2.allsportsapi.com/logo/logo_country/27_brazil.png
684,Arab Cup,intl,,,,684,Arab Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
685,Supercopa de Ecuador,Ecuador,,,,685,Supercopa de Ecuador,41,Ecuador,,https://apiv2.allsportsapi.com/logo/logo_country/41_ecuador.png
686,WE League,Japan,,,,686,WE League,64,Japan,,https://apiv2.allsportsapi.com/logo/logo_country/64_japan.png
687,Baltic Cup,intl,,,,687,Baltic Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
688,COSAFA Cup,intl,,,,688,COSAFA Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
689,Concacaf Gold Cup Qualification,intl,,,,689,Concacaf Gold Cup Qualification,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
690,Concacaf Caribbean Cup,intl,,,,690,Concacaf Caribbean Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
